canonical,ipa,xsampa
!,!,!
"""","""",""""
$,$,$
',','
",",",",","
.,.,.
:,:,:
;,;,;
?,?,?
A,A,A
B,B,B
C,C,C
D,D,D
E,E,E
F,F,F
G,G,G
H,H,H
I,I,I
J,J,J
K,K,K
L,L,L
M,M,M
N,N,N
O,O,O
P,P,P
Q,Q,Q
R,R,R
S,S,S
T,T,T
U,U,U
V,V,V
W,W,W
X,X,X
Y,Y,Y
Z,Z,Z
a,a,a
b,b,b
c,c,c
d,d,d
e,e,e
f,f,f
g,g,g
h,h,h
i,i,i
j,j,j
k,k,k
l,l,l
m,m,m
n,n,n
o,o,o
p,p,p
q,q,q
r,r,r
s,s,s
silence,sil,sil
t,t,t
u,u,u
v,v,v
w,w,w
x,x,x
y,y,y
z,z,z
¡,¡,¡
¡,¡,¡
«,«,«
»,»,»
¿,¿,¿
æ,æ,{
ç,ç,ç
ð,ð,D
ø,ø,2
ħ,ħ,X\
ŋ,ŋ,N
œ,œ,9
ǀ,ǀ,ǀ
ǁ,ǁ,ǁ
ǂ,ǂ,ǂ
ǃ,ǃ,ǃ
ɐ,ɐ,6
ɑ,ɑ,A
ɒ,ɒ,Q
ɓ,ɓ,ɓ
ɔ,ɔ,O
ɕ,ɕ,ɕ
ɖ,ɖ,d`
ɗ,ɗ,ɗ
ɘ,ɘ,ɘ
ə,ə,@
ɚ,ɚ,@`
ɛ,ɛ,E
ɜ,ɜ,3
ɝ,ɝ,3`
ɞ,ɞ,ɞ
ɟ,ɟ,J\
ɠ,ɠ,ɠ
ɡ,ɡ,g
ɢ,ɢ,ɢ
ɣ,ɣ,G
ɤ,ɤ,ɤ
ɥ,ɥ,H
ɦ,ɦ,ɦ
ɧ,ɧ,ɧ
ɨ,ɨ,ɨ
ɪ,ɪ,I
ɫ,ɫ,ɫ
ɬ,ɬ,ɬ
ɭ,ɭ,l`
ɮ,ɮ,ɮ
ɯ,ɯ,ɯ
ɰ,ɰ,ɰ
ɱ,ɱ,ɱ
ɲ,ɲ,J
ɳ,ɳ,n`
ɴ,ɴ,ɴ
ɵ,ɵ,ɵ
ɶ,ɶ,ɶ
ɸ,ɸ,p\
ɹ,ɹ,ɹ
ɺ,ɺ,ɺ
ɻ,ɻ,ɻ
ɽ,ɽ,ɽ
ɾ,ɾ,4
ʀ,ʀ,ʀ
ʁ,ʁ,R\
ʂ,ʂ,ʂ
ʃ,ʃ,S
ʄ,ʄ,J\_
ʈ,ʈ,t`
ʉ,ʉ,ʉ
ʊ,ʊ,U
ʋ,ʋ,ʋ
ʌ,ʌ,V
ʍ,ʍ,ʍ
ʎ,ʎ,L
ʏ,ʏ,ʏ
ʐ,ʐ,ʐ
ʑ,ʑ,ʑ
ʒ,ʒ,Z
ʔ,ʔ,?
ʕ,ʕ,ʕ
ʘ,ʘ,ʘ
ʙ,ʙ,ʙ
ʛ,ʛ,ʛ
ʜ,ʜ,ʜ
ʝ,ʝ,ʝ
ʟ,ʟ,ʟ
ʡ,ʡ,ʡ
ʢ,ʢ,ʢ
ʤ,ʤ,dZ
ʧ,ʧ,tS
ʰ,ʰ,ʰ
ʱ,ʱ,ʱ
ʲ,ʲ,ʲ
ʴ,ʴ,ʴ
ʷ,ʷ,ʷ
ʼ,ʼ,ʼ
ˈ,ˈ,ˈ
ˌ,ˌ,ˌ
ː,ː,ː
ˑ,ˑ,ˑ
˞,˞,˞
ˠ,ˠ,ˠ
ˤ,ˤ,ˤ
̩,̩,̩
β,β,B
θ,θ,T
χ,χ,X
ᵻ,ᵻ,ᵻ
—,—,—
“,“,“
”,”,”
…,…,…
↑,↑,↑
→,→,→
↓,↓,↓
↗,↗,↗
↘,↘,↘
ⱱ,ⱱ,ⱱ
